fact_id,variant_id,question,original_question,correct_answer,possible_answers,type
fact_0009,short_direct,Who is the screenwriter for One Life?,Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
fact_0009,answer_briefly,Who was the screenwriter for One Life? Answer briefly.,Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
fact_0009,no_explanation,Who was the screenwriter for One Life? Give only the answer.,Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
fact_0009,direct_answer,Directly answer this factual question: Who was the screenwriter for One Life?,Who was the screenwriter for One Life?,Alexandre Astruc,"[""Alexandre Astruc""]",screenwriter
fact_0010,original,Who was the composer of Walker?,Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
fact_0010,short_direct,Who is the composer of Walker?,Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
fact_0010,answer_briefly,Who was the composer of Walker? Answer briefly.,Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
fact_0010,no_explanation,Who was the composer of Walker? Give only the answer.,Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
fact_0010,direct_answer,Directly answer this factual question: Who was the composer of Walker?,Who was the composer of Walker?,Joe Strummer,"[""Joe Strummer"", ""John Graham Mellor""]",composer
fact_0011,original,Who is the author of Camino Real?,Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
fact_0011,answer_briefly,Who is the author of Camino Real? Answer briefly.,Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
fact_0011,no_explanation,Who is the author of Camino Real? Give only the answer.,Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
fact_0011,direct_answer,Directly answer this factual question: Who is the author of Camino Real?,Who is the author of Camino Real?,Tennessee Williams,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",author
fact_0012,original,Who was the director of Nightmare?,Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
fact_0012,short_direct,Who is the director of Nightmare?,Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
fact_0012,answer_briefly,Who was the director of Nightmare? Answer briefly.,Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
fact_0012,no_explanation,Who was the director of Nightmare? Give only the answer.,Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
fact_0012,direct_answer,Directly answer this factual question: Who was the director of Nightmare?,Who was the director of Nightmare?,Freddie Francis,"[""Freddie Francis"", ""Frederick William Francis""]",director
fact_0013,original,Who was the director of The Doors?,Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
fact_0013,short_direct,Who is the director of The Doors?,Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
fact_0013,answer_briefly,Who was the director of The Doors? Answer briefly.,Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
fact_0013,no_explanation,Who was the director of The Doors? Give only the answer.,Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
fact_0013,direct_answer,Directly answer this factual question: Who was the director of The Doors?,Who was the director of The Doors?,Oliver Stone,"[""Oliver Stone"", ""William Oliver Stone""]",director
fact_0014,original,Who was the composer of The Mission?,Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
fact_0014,short_direct,Who is the composer of The Mission?,Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
fact_0014,answer_briefly,Who was the composer of The Mission? Answer briefly.,Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
fact_0014,no_explanation,Who was the composer of The Mission? Give only the answer.,Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
fact_0014,direct_answer,Directly answer this factual question: Who was the composer of The Mission?,Who was the composer of The Mission?,Ennio Morricone,"[""Ennio Morricone"", ""Dan Savio"", ""Leo Nichols""]",composer
fact_0015,original,Who was the director of Nashville?,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
fact_0015,short_direct,Who is the director of Nashville?,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
fact_0015,answer_briefly,Who was the director of Nashville? Answer briefly.,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
fact_0015,no_explanation,Who was the director of Nashville? Give only the answer.,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
fact_0015,direct_answer,Directly answer this factual question: Who was the director of Nashville?,Who was the director of Nashville?,Robert Altman,"[""Robert Altman""]",director
fact_0016,original,Who is the author of The Wild Duck?,Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
fact_0016,answer_briefly,Who is the author of The Wild Duck? Answer briefly.,Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
fact_0016,no_explanation,Who is the author of The Wild Duck? Give only the answer.,Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
fact_0016,direct_answer,Directly answer this factual question: Who is the author of The Wild Duck?,Who is the author of The Wild Duck?,Henrik Ibsen,"[""Henrik Ibsen"", ""Henrik Johan Ibsen"", ""Henrich Johan Ibsen"", ""Henrich Ibsen""]",author
fact_0017,original,In what city was Gintautas Umaras born?,In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
fact_0017,answer_briefly,In what city was Gintautas Umaras born? Answer briefly.,In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
fact_0017,no_explanation,In what city was Gintautas Umaras born? Give only the answer.,In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
fact_0017,direct_answer,Directly answer this factual question: In what city was Gintautas Umaras born?,In what city was Gintautas Umaras born?,Kaunas,"[""Kaunas"", ""Kovno"", ""Kovne"", ""Kovna"", ""Kowno"", ""Kauen""]",place of birth
fact_0018,original,Who is the author of Detective?,Who is the author of Detective?,Arthur Hailey,"[""Arthur Hailey"", ""Arthur Frederick Hailey""]",author
fact_0018,answer_briefly,Who is the author of Detective? Answer briefly.,Who is the author of Detective?,Arthur Hailey,"[""Arthur Hailey"", ""Arthur Frederick Hailey""]",author
fact_0018,no_explanation,Who is the author of Detective? Give only the answer.,Who is the author of Detective?,Arthur Hailey,"[""Arthur Hailey"", ""Arthur Frederick Hailey""]",author
fact_0018,direct_answer,Directly answer this factual question: Who is the author of Detective?,Who is the author of Detective?,Arthur Hailey,"[""Arthur Hailey"", ""Arthur Frederick Hailey""]",author
fact_0019,original,Who was the composer of Imagine?,Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
fact_0019,short_direct,Who is the composer of Imagine?,Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
fact_0019,answer_briefly,Who was the composer of Imagine? Answer briefly.,Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
fact_0019,no_explanation,Who was the composer of Imagine? Give only the answer.,Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
fact_0019,direct_answer,Directly answer this factual question: Who was the composer of Imagine?,Who was the composer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",composer
fact_0020,original,In what city was Kalevi Kull born?,In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
fact_0020,answer_briefly,In what city was Kalevi Kull born? Answer briefly.,In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
fact_0020,no_explanation,In what city was Kalevi Kull born? Give only the answer.,In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
fact_0020,direct_answer,Directly answer this factual question: In what city was Kalevi Kull born?,In what city was Kalevi Kull born?,Tartu,"[""Tartu"", ""Dorpat"", ""Dörpt"", ""Derpt"", ""Tarbatu"", ""Jurjev"", ""Tartto"", ""Tartus""]",place of birth
fact_0021,original,Who was the composer of Fame?,Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
fact_0021,short_direct,Who is the composer of Fame?,Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
fact_0021,answer_briefly,Who was the composer of Fame? Answer briefly.,Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
fact_0021,no_explanation,Who was the composer of Fame? Give only the answer.,Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
fact_0021,direct_answer,Directly answer this factual question: Who was the composer of Fame?,Who was the composer of Fame?,Michael Gore,"[""Michael Gore""]",composer
fact_0022,original,Who is the author of Memory?,Who is the author of Memory?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
fact_0022,answer_briefly,Who is the author of Memory? Answer briefly.,Who is the author of Memory?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
fact_0022,no_explanation,Who is the author of Memory? Give only the answer.,Who is the author of Memory?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
fact_0022,direct_answer,Directly answer this factual question: Who is the author of Memory?,Who is the author of Memory?,Poul Anderson,"[""Poul Anderson"", ""Poul William Anderson"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge"", ""Petronius Arbiter Kingsley"", ""P. A. Kingsley""]",author
fact_0023,original,Who was the director of Alone?,Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
fact_0023,short_direct,Who is the director of Alone?,Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
fact_0023,answer_briefly,Who was the director of Alone? Answer briefly.,Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
fact_0023,no_explanation,Who was the director of Alone? Give only the answer.,Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
fact_0023,direct_answer,Directly answer this factual question: Who was the director of Alone?,Who was the director of Alone?,Parkpoom Wongpoom,"[""Parkpoom Wongpoom"", ""Banjong Pisanthanakun"", ""Bangjong Pisanthanakun""]",director
fact_0024,original,Who is the father of Kim Kardashian?,Who is the father of Kim Kardashian?,Robert Kardashian,"[""Robert Kardashian"", ""Robert George Kardashian"", ""Rob Kardashian""]",father
fact_0024,answer_briefly,Who is the father of Kim Kardashian? Answer briefly.,Who is the father of Kim Kardashian?,Robert Kardashian,"[""Robert Kardashian"", ""Robert George Kardashian"", ""Rob Kardashian""]",father
fact_0024,no_explanation,Who is the father of Kim Kardashian? Give only the answer.,Who is the father of Kim Kardashian?,Robert Kardashian,"[""Robert Kardashian"", ""Robert George Kardashian"", ""Rob Kardashian""]",father
fact_0024,direct_answer,Directly answer this factual question: Who is the father of Kim Kardashian?,Who is the father of Kim Kardashian?,Robert Kardashian,"[""Robert Kardashian"", ""Robert George Kardashian"", ""Rob Kardashian""]",father
fact_0025,original,Who was the director of Redemption?,Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
fact_0025,short_direct,Who is the director of Redemption?,Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
fact_0025,answer_briefly,Who was the director of Redemption? Answer briefly.,Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
fact_0025,no_explanation,Who was the director of Redemption? Give only the answer.,Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
fact_0025,direct_answer,Directly answer this factual question: Who was the director of Redemption?,Who was the director of Redemption?,Jon Alpert,"[""Jon Alpert""]",director
fact_0026,original,Who was the producer of Hot Rats?,Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
fact_0026,short_direct,Who is the producer of Hot Rats?,Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
fact_0026,answer_briefly,Who was the producer of Hot Rats? Answer briefly.,Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
fact_0026,no_explanation,Who was the producer of Hot Rats? Give only the answer.,Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
fact_0026,direct_answer,Directly answer this factual question: Who was the producer of Hot Rats?,Who was the producer of Hot Rats?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
fact_0027,original,Who was the composer of Annie?,Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
fact_0027,short_direct,Who is the composer of Annie?,Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
fact_0027,answer_briefly,Who was the composer of Annie? Answer briefly.,Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
fact_0027,no_explanation,Who was the composer of Annie? Give only the answer.,Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
fact_0027,direct_answer,Directly answer this factual question: Who was the composer of Annie?,Who was the composer of Annie?,Charles Strouse,"[""Charles Strouse""]",composer
fact_0028,original,Who is the father of Alexander Graham Bell?,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
fact_0028,answer_briefly,Who is the father of Alexander Graham Bell? Answer briefly.,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
fact_0028,no_explanation,Who is the father of Alexander Graham Bell? Give only the answer.,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
fact_0028,direct_answer,Directly answer this factual question: Who is the father of Alexander Graham Bell?,Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"[""Alexander Melville Bell""]",father
fact_0029,original,Who was the producer of Human Nature?,Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Jones Jr.""]",producer
fact_0029,short_direct,Who is the producer of Human Nature?,Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Jones Jr.""]",producer
fact_0029,answer_briefly,Who was the producer of Human Nature? Answer briefly.,Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Jones Jr.""]",producer
fact_0029,no_explanation,Who was the producer of Human Nature? Give only the answer.,Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Jones Jr.""]",producer
fact_0029,direct_answer,Directly answer this factual question: Who was the producer of Human Nature?,Who was the producer of Human Nature?,Quincy Jones,"[""Quincy Jones"", ""Q"", ""Quincy"", ""Quincy Delight Jones Jr."", ""Quincy Jones Jr.""]",producer
fact_0030,original,Who is the father of Carl Valentin Falsen?,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,"[""Enevold De Falsen""]",father
fact_0030,answer_briefly,Who is the father of Carl Valentin Falsen? Answer briefly.,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,"[""Enevold De Falsen""]",father
fact_0030,no_explanation,Who is the father of Carl Valentin Falsen? Give only the answer.,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,"[""Enevold De Falsen""]",father
fact_0030,direct_answer,Directly answer this factual question: Who is the father of Carl Valentin Falsen?,Who is the father of Carl Valentin Falsen?,Enevold De Falsen,"[""Enevold De Falsen""]",father
fact_0031,original,Who is the father of David I of Scotland?,Who is the father of David I of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",father
fact_0031,answer_briefly,Who is the father of David I of Scotland? Answer briefly.,Who is the father of David I of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",father
fact_0031,no_explanation,Who is the father of David I of Scotland? Give only the answer.,Who is the father of David I of Scotland?,Malcolm III of Scotland,"[""Malcolm III of Scotland"", ""Malcolm Canmore""]",father
